发布时间,微博id,用户id,用户名,微博地址,转发数,评论数,点赞数,正文,实验正文
Fri Apr 08 17:55:52 +0800 2022,4756039960368794,6445527325,64hotr,https://m.weibo.cn/u/6445527325?uid=6445527325&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#诡计多端的穷男人们狂喜 ,诡计多端的穷男人们狂喜 
Fri Apr 08 17:55:29 +0800 2022,4756039864681353,6183821003,HOME美学家,https://m.weibo.cn/u/6183821003?uid=6183821003&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#来杭州的年轻人越来越多了，也为他们设计了适合年轻群体居住的空间 HOME美学家的微博视频 ,来杭州的年轻人越来越多了，也为他们设计了适合年轻群体居住的空间 HOME美学家的微博视频 
Fri Apr 08 17:54:01 +0800 2022,4756039495320561,2712293721,旅行锐视角,https://m.weibo.cn/u/2712293721?uid=2712293721&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#杭州，只用半价买套房 旅行锐视角的微博视频 ,杭州，只用半价买套房 旅行锐视角的微博视频 
Fri Apr 08 17:54:01 +0800 2022,4756039494276342,6042105402,玩转新机boy,https://m.weibo.cn/u/6042105402?uid=6042105402&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#刚刚官宣！杭州这批人可以半价买房！第一批在临平 玩转新机boy的微博视频 ,刚刚官宣！杭州这批人可以半价买房！第一批在临平 玩转新机boy的微博视频 
Fri Apr 08 17:50:24 +0800 2022,4756038584110639,1734900777,迎风三丈,https://m.weibo.cn/u/1734900777?uid=1734900777&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,1,#杭州部分地区可半价买房#希望把实惠真正放到需要的人身上，把房子变成现在敛财的工具，造孽啊！！ ,希望把实惠真正放到需要的人身上，把房子变成现在敛财的工具，造孽啊！！ 
Fri Apr 08 10:40:32 +0800 2022,4755930405407327,1847582585,都市快报,https://m.weibo.cn/u/1847582585?uid=1847582585&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,12,35,10318,#杭州部分地区可半价买房# ，产权和政府共有！你会考虑买共有产权房吗？  网页链接 , ，产权和政府共有！你会考虑买共有产权房吗？  网页链接 
Fri Apr 08 17:48:01 +0800 2022,4756037984848384,6183820652,动物千万问,https://m.weibo.cn/u/6183820652?uid=6183820652&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,1,#杭州部分地区可半价买房#要不要把户口迁过来杭州？杭州户口竟然可以半价买房？犹豫的朋友可以看下！ 动物千万问的微博视频 ,要不要把户口迁过来杭州？杭州户口竟然可以半价买房？犹豫的朋友可以看下！ 动物千万问的微博视频 
Fri Apr 08 16:26:44 +0800 2022,4756017528704620,1638782947,新浪财经,https://m.weibo.cn/u/1638782947?uid=1638782947&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,6,11,30,#共有产权房值得购买吗#【#杭州部分地区可半价买房# 产权和政府共有】杭州共有产权房又有新消息了！杭州将对租赁住房用地和共有产权房用地优先安排。根据杭州共有产权保障住房管理办法，共有产权房购房家庭产权份额比例不低于50%且不高于80%，可落户，孩童也可按照学区划分入学。杭州部分地区可半价买房 产权和政府共有 杭州部分地区可半价买房 产权和政府共有, 产权和政府共有】杭州共有产权房又有新消息了！杭州将对租赁住房用地和共有产权房用地优先安排。根据杭州共有产权保障住房管理办法，共有产权房购房家庭产权份额比例不低于50%且不高于80%，可落户，孩童也可按照学区划分入学。杭州部分地区可半价买房 产权和政府共有 杭州部分地区可半价买房 产权和政府共有
Fri Apr 08 17:43:32 +0800 2022,4756036856319623,1975667005,yesterday默,https://m.weibo.cn/u/1975667005?uid=1975667005&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#这是房价要降的趋势吗？ ,这是房价要降的趋势吗？ 
Fri Apr 08 17:36:17 +0800 2022,4756035032586227,5173916811,cheer绛,https://m.weibo.cn/u/5173916811?uid=5173916811&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,哈哈哈哈这个热搜看得我兴高采烈的点进去：半价买房，杭州我来啦。 点进来，半价也是七万一平，哈哈哈杭州不愧是你，再见👋,哈哈哈哈这个热搜看得我兴高采烈的点进去：半价买房，杭州我来啦。 点进来，半价也是七万一平，哈哈哈杭州不愧是你，再见
Fri Apr 08 17:33:09 +0800 2022,4756034243527602,1117598305,张爱林,https://m.weibo.cn/u/1117598305?uid=1117598305&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,1,3,#杭州部分地区可半价买房# 普惠力度有多大，能申请到的人群有多少，落到实处才是硬道理。 , 普惠力度有多大，能申请到的人群有多少，落到实处才是硬道理。 
Fri Apr 08 17:32:53 +0800 2022,4756034176420520,6213645083,风流AI数码,https://m.weibo.cn/u/6213645083?uid=6213645083&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,6,#杭州部分地区可半价买房#这个热搜可以歇歇了，标题党。半价买房，共有产权房，即便是政府承担一半，最好还是不要 北京·和平里北街 ,这个热搜可以歇歇了，标题党。半价买房，共有产权房，即便是政府承担一半，最好还是不要 北京·和平里北街 
